timestamp,frame,track_id,cls,x1,y1,x2,y2
2025-10-29T11:49:40.878182,0,1,0,428,264,947,713
2025-10-29T11:49:41.400622,1,1,0,428,264,947,713
2025-10-29T11:49:41.400622,1,2,0,385,263,948,718
2025-10-29T11:49:41.543569,2,1,0,428,264,947,713
2025-10-29T11:49:41.543569,2,2,0,385,263,948,718
2025-10-29T11:49:41.543569,2,3,0,430,267,946,720
2025-10-29T11:52:17.543530,0,1,0,396,166,1043,713
2025-10-29T11:52:17.788786,1,1,0,380,146,1084,715
2025-10-29T11:52:17.935102,2,1,0,375,148,1081,715
2025-10-29T11:52:18.125824,3,1,0,379,144,1089,715
2025-10-29T11:52:18.244148,4,1,0,383,147,1086,714
2025-10-29T11:52:18.353880,5,1,0,384,147,1083,714
2025-10-29T11:52:18.487498,6,1,0,382,148,1084,715
2025-10-29T11:52:18.642245,7,1,0,383,149,1081,714
2025-10-29T11:52:18.763470,8,1,0,383,150,1078,714
2025-10-29T11:52:18.892635,9,1,0,381,149,1081,715
2025-10-29T11:52:19.004890,10,1,0,382,149,1074,714
2025-10-29T11:52:19.138059,11,1,0,385,148,1058,714
2025-10-29T11:52:19.246536,12,1,0,395,149,1030,714
2025-10-29T11:52:19.378387,13,1,0,390,152,1014,714
2025-10-29T11:52:19.488891,14,1,0,395,162,987,714
2025-10-29T11:52:19.616164,15,1,0,403,169,982,714
2025-10-29T11:52:19.735183,16,1,0,389,167,1007,715
2025-10-29T11:52:19.881002,17,1,0,338,156,1018,716
2025-10-29T11:52:20.007956,18,1,0,353,158,986,716
2025-10-29T11:52:20.144438,19,1,0,380,150,978,716
2025-10-29T11:52:20.274556,20,1,0,367,140,1034,716
2025-10-29T11:52:20.426311,21,1,0,341,138,1039,717
2025-10-29T11:52:20.555480,22,1,0,320,137,1030,717
2025-10-29T11:52:20.689680,23,1,0,311,134,1018,717
2025-10-29T11:52:20.829884,24,1,0,323,127,1023,717
2025-10-29T11:52:20.963720,25,1,0,314,119,1049,717
2025-10-29T11:52:21.078468,26,1,0,315,111,1050,717
2025-10-29T11:52:21.204407,27,1,0,312,105,1053,717
2025-10-29T11:52:21.314007,28,1,0,315,103,1054,717
2025-10-29T11:52:21.446351,29,1,0,313,107,1045,716
2025-10-29T11:52:21.579459,30,1,0,321,109,1046,717
2025-10-29T11:52:21.693852,31,1,0,320,112,1042,717
2025-10-29T11:52:21.835672,32,1,0,322,114,1040,717
2025-10-29T11:52:21.959418,33,1,0,321,114,1040,717
2025-10-29T11:52:22.074046,34,1,0,323,114,1042,717
2025-10-29T11:52:22.203389,35,1,0,324,115,1041,717
2025-10-29T11:52:22.344723,36,1,0,327,115,1042,717
2025-10-29T11:52:22.492209,37,1,0,322,117,1035,718
2025-10-29T11:52:22.617574,38,1,0,325,121,1034,719
2025-10-29T11:52:22.750604,39,1,0,324,123,1029,717
2025-10-29T11:52:22.867467,40,1,0,325,125,1032,717
2025-10-29T11:52:22.991054,41,1,0,327,128,1026,716
2025-10-29T11:52:23.102748,42,1,0,326,128,1029,716
2025-10-29T11:52:23.233504,43,1,0,327,128,1027,717
2025-10-29T11:52:23.341825,44,1,0,328,125,1028,717
2025-10-29T11:52:23.483151,45,1,0,328,124,1038,717
2025-10-29T11:52:23.621920,46,1,0,350,131,1025,715
2025-10-29T11:52:23.750640,47,1,0,357,131,1023,717
2025-10-29T11:52:23.860200,48,1,0,362,129,1018,715
2025-10-29T11:52:23.993498,49,1,0,362,131,1023,715
2025-10-29T11:52:24.127678,50,1,0,367,132,1020,715
2025-10-29T11:52:24.238716,51,1,0,377,135,1013,715
2025-10-29T11:52:24.370278,52,1,0,375,132,1016,715
2025-10-29T11:52:24.501332,53,1,0,375,132,1019,715
2025-10-29T11:52:24.617014,54,1,0,374,131,1012,715
2025-10-29T11:52:24.758361,55,1,0,373,130,1020,715
2025-10-29T11:52:24.897611,56,1,0,375,128,1027,715
2025-10-29T11:52:25.026316,57,1,0,366,119,1030,712
2025-10-29T11:52:25.160467,58,1,0,359,104,1038,713
2025-10-29T11:52:25.302621,59,1,0,335,83,1056,713
2025-10-29T11:52:25.442341,60,1,0,328,70,1067,712
2025-10-29T11:52:25.575151,61,1,0,322,53,1075,712
2025-10-29T11:52:25.711852,62,1,0,312,44,1081,712
2025-10-29T11:52:25.831855,63,1,0,303,37,1083,713
2025-10-29T11:52:25.959507,64,1,0,274,32,1086,713
2025-10-29T11:52:26.096330,65,1,0,267,25,1087,713
2025-10-29T11:52:26.238009,66,1,0,251,25,1087,713
2025-10-29T11:52:26.377444,67,1,0,250,24,1087,713
2025-10-29T11:52:26.506411,68,1,0,251,20,1087,712
2025-10-29T11:52:26.656455,69,1,0,251,18,1083,713
2025-10-29T11:52:26.788895,70,1,0,252,16,1089,714
2025-10-29T11:52:26.926800,71,1,0,247,17,1085,713
2025-10-29T11:52:27.067651,72,1,0,256,19,1085,713
2025-10-29T11:52:27.205114,73,1,0,292,24,1083,712
2025-10-29T11:52:27.335950,74,1,0,303,48,1060,711
2025-10-29T11:52:27.483112,75,1,0,324,87,1039,713
2025-10-29T11:52:27.613798,76,1,0,354,129,999,714
2025-10-29T11:52:27.749214,77,1,0,378,167,981,714
2025-10-29T11:52:27.884148,78,1,0,376,194,953,715
2025-10-29T11:52:28.025248,79,1,0,368,214,961,715
2025-10-29T11:52:28.162736,80,1,0,347,220,960,715
2025-10-29T11:52:28.295195,81,1,0,359,224,945,714
2025-10-29T11:52:28.437390,82,1,0,363,228,953,714
2025-10-29T11:52:28.568407,83,1,0,427,226,990,715
2025-10-29T11:52:28.693749,84,1,0,412,223,1001,713
2025-10-29T11:52:28.899091,85,1,0,450,216,1027,713
2025-10-29T11:52:29.021589,86,1,0,425,207,1036,716
2025-10-29T11:52:29.154453,87,1,0,421,213,1009,715
2025-10-29T11:52:29.268523,88,1,0,416,212,979,714
2025-10-29T11:52:29.399569,89,1,0,399,209,949,714
2025-10-29T11:52:29.544114,90,1,0,315,208,910,715
2025-10-29T11:52:29.675765,91,1,0,341,205,925,715
2025-10-29T11:52:29.815454,92,1,0,321,203,926,714
2025-10-29T11:52:29.956119,93,1,0,311,200,914,713
2025-10-29T11:52:30.089869,94,1,0,283,200,899,714
2025-10-29T11:52:30.233259,95,1,0,258,201,900,714
2025-10-29T11:52:30.367797,96,1,0,246,206,891,714
2025-10-29T11:52:30.505128,97,1,0,237,209,894,714
2025-10-29T11:52:30.646075,98,1,0,246,208,898,714
2025-10-29T11:52:30.786399,99,1,0,260,204,908,714
2025-10-29T11:52:30.914068,100,1,0,291,198,938,713
2025-10-29T11:52:31.050281,101,1,0,320,193,948,714
